run,t_end_days,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,days_per_year_after,bound_after
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om0,112420.0,0.9998140247023738,0.017167649604326624,23.4573287031091,282.29061826442046,1.1263574205131002,0.3157697218069617,27.551812193676106,172.12100027862962,436.62854749244036,True
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om180,112420.0,0.9998140247023813,0.017167649604324764,23.45732870310913,282.2906182644085,1.24501658888183,0.1468277402997767,19.707404347380393,50.54433436098866,507.41172391937516,True
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om270,112420.0,0.9998140247024049,0.01716764960432102,23.457328703109116,282.2906182643718,1.372143451379739,0.19332564729902196,22.50682297855981,62.25978067733916,587.0797035461313,True
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om90,112420.0,0.999814024702396,0.017167649604330693,23.45732870310905,282.2906182643716,0.7211794476627111,0.30069852771581523,19.70500178371639,269.99636077757503,223.6983613393404,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om0,112420.0,0.9998140247023742,0.01716764960432773,23.457328703109148,282.29061826441773,1.4913395684121868,0.25832569788734405,23.362028864729133,74.87699575814011,665.2158698687573,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om180,112420.0,0.9998140247023924,0.017167649604326547,23.457328703108953,282.29061826438465,0.7466365597828374,0.3010083580669216,25.47584342557701,241.79119918159773,235.6468658884745,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om270,112420.0,0.9998140247023862,0.017167649604320802,23.457328703108907,282.29061826441017,1.2059558549826817,0.10674300283089914,25.53841560158565,37.36095569783905,483.72095980840254,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om90,112420.0,0.9998140247023969,0.01716764960431328,23.45732870310889,282.2906182644037,1.0387460199177905,0.24852647364787844,24.080009206492928,209.88910682307815,386.68902799540945,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om0,112420.0,0.999814024702388,0.01716764960432214,23.457328703109148,282.29061826440136,0.7524068943917406,0.36127243862793207,25.97567436561604,257.36148724139883,238.3839106019396,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om180,112420.0,0.9998140247023853,0.01716764960432058,23.45732870310905,282.29061826441125,1.9689159901924524,0.44504862125698447,21.81522322981928,94.17079889004519,1009.1101382039142,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om270,112420.0,0.9998140247023924,0.017167649604326866,23.45732870310881,282.29061826438544,1.1812249882279053,0.17922117596954565,29.2530396320658,95.99625719908782,468.91781091868785,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om90,112420.0,0.999814024702384,0.017167649604318626,23.457328703108907,282.290618264418,1.1170421400500838,0.07173626323459115,23.813875279014457,168.46516941898187,431.2232078245406,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om0,112420.0,0.999814024702392,0.01716764960432625,23.4573287031091,282.29061826438544,1.178152114562664,0.11433732801326943,26.551296856471257,30.96566290384394,467.08921642955806,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om180,112420.0,0.9998140247023791,0.01716764960432309,23.45732870310903,282.2906182644174,0.9259299606138325,0.26333179676281326,23.547969340666192,177.5776724910908,325.4355522547376,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om270,112420.0,0.999814024702392,0.017167649604327144,23.45732870310881,282.2906182643879,0.9774255508517335,0.06833452991617825,32.531052154899434,342.96240235143836,352.95823735974176,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om90,112420.0,0.9998140247023769,0.017167649604321454,23.457328703108907,282.2906182644266,1.295361092364476,0.1391889977573648,27.8069060669002,159.70851504397132,538.4979606813368,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om90__om0,112420.0,0.9998140247023813,0.017167649604324764,23.45732870310913,282.2906182644085,1.297269837783509,0.3089524629593913,31.30473595914856,133.81652394042806,539.6886333877276,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om90__om180,112420.0,0.9998140247023791,0.017167649604323102,23.45732870310903,282.2906182644174,1.2440470544123465,0.17186328790856115,17.63576691780591,44.13528344287694,506.81913257531494,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om90__om270,112420.0,0.9998140247023813,0.017167649604325538,23.457328703108843,282.29061826440994,1.21685035008661,0.10495403356038897,22.700860786977483,31.754807678887836,490.2905780316742,True
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om90__om90,112420.0,0.999814024702392,0.017167649604327144,23.45732870310881,282.2906182643879,0.7642430409101882,0.23259436164585365,21.26289148713306,264.1780524648983,244.03101683232995,True
