run,body,state,a_sun_au,e_sun,a_bh_au,e_bh,r_from_bh_au,period_bh_days
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Mars,solar,5.685862233414109,0.7004110367007159,,,819.0687101190075,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Mercury,solar,0.3672870414538533,0.317992685717523,,,820.717744871643,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Moon,solar,0.7066324038651016,0.23882660943152884,,,820.6509664463887,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Neptune,solar,51.14658252539173,0.6631812848094834,,,852.0640635223342,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Saturn,solar,7.648299944910283,0.44806216864674664,,,824.3452564835552,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Uranus,free,,,,,766.3086390071611,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Venus,solar,0.5896898308321581,0.16704473544176884,,,820.3441264685304,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Earth,solar,0.7613854300541943,0.22365177444605053,,,821.2695174702712,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Jupiter,solar,4.138689472358128,0.35064040696463095,,,818.2738516024591,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Mars,solar,3.982385670905408,0.2529303671588118,,,816.5623400104495,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Mercury,solar,0.46974492290141195,0.43425953885329455,,,820.5280205474916,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Moon,solar,0.8144641679204845,0.2649661375656932,,,821.2720218773184,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Neptune,solar,32.67468678966801,0.6110692839254589,,,865.9249000130088,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Saturn,solar,8.252516988970136,0.3705890969618689,,,828.8116541056065,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Uranus,free,,,,,760.7867191633703,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,Venus,solar,0.6002347592214953,0.15214945265599444,,,820.5161898898845,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Earth,solar,0.7850123135688752,0.2005866040019205,,,820.5094858718551,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Jupiter,solar,3.6521925708755316,0.4213122235024565,,,824.9262094715264,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Mars,solar,2.906100676760088,0.2972460603955766,,,819.6494844514066,
