run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om270,0.7923239908426015,0.2331602451178122,21.01543432349174,271.2204974362536,257.603642486332,88.3861628929578,361.5361628929578,90.0,False,477.07594366159657,44,557.3531423248935,88.38619260353171,88.3861331823839,55.183208495268495,43.83445057996862,11.348757915299878,57.30869358867539,37.41456926478627,19.894124323889116,54.0845014075066,4.484553540901231,73.06942987728489,42.73261900415415,50.08409435937361,5.055172302911926,1,0.25,0.0,270.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om90,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-66.26171459141324,206.88828540858674,,True,401.861448181285,20,170.55640311112856,-66.26172354994695,-66.26170563287953,-59.617961594116224,-75.93248812300236,16.314526528886134,-51.708261482658806,-78.42121296822215,26.712951485563345,-65.928760356705,8.260276364830844,-81.57844760708615,-66.28433606718004,-64.71707573001112,5.25690742720019,2,0.25,0.0,270.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om0,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,15.722192153453422,288.8721921534534,70.81186354627908,False,724.0201133445147,24,343.01144691510746,15.417578095308777,16.026806211598068,21.32426609763864,-18.181762014126026,39.506028111764664,42.13037450085333,-26.30606711441227,68.4364416152656,0.6781696504647001,12.531133556781429,0.40545913778050924,27.55429991633209,16.225151961743748,4.7471068422819584,2,0.25,0.0,90.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om180,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09023670761202,217.05976329238797,,True,399.4934319310725,25,226.49823578441658,-56.090249274398026,-56.090224140826066,-52.76821389359877,-67.61472144032038,14.846507546721611,-45.96597859401708,-70.94551910901615,24.979540514999066,-58.004348204439715,7.133628302637156,-71.40696972328493,-60.54205317853832,-57.867328029493656,4.312175009928982,1,0.25,0.0,90.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om270,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-66.26171459141324,206.88828540858674,,True,401.861448181285,20,170.55640311112856,-66.26172354994695,-66.26170563287953,-59.617961594116224,-75.93248812300236,16.314526528886134,-51.708261482658806,-78.42121296822215,26.712951485563345,-65.928760356705,8.260276364830844,-81.57844760708615,-66.28433606718004,-64.71707573001112,5.25690742720019,2,0.25,0.0,90.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om90,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,88.38616464899137,361.53616464899136,90.0,False,477.07594614035645,44,557.3531475745328,88.38619435956954,88.38613493841318,55.18320963962865,43.834451984911055,11.348757654717595,57.308695309981026,37.414570699681946,19.89412461029908,54.08450274372945,4.484553504522957,73.06943163331846,42.73262072545979,50.084095503733764,5.055172319448047,1,0.25,0.0,90.0,90.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om0,1.3788260121350175,0.204388457249952,23.304570159776578,71.49021877675223,591.373680858856,-64.03027143228375,209.1197285677162,,True,402.6566087364074,21,182.8291196255622,-64.03028183191947,-64.03026103264804,-58.13099862623781,-74.17944642561167,16.04844779937386,-50.35255672636819,-76.86493973343028,26.512383007062084,-64.23814656444381,8.026126642998207,-79.34700444795666,-64.92863131088943,-63.2301127621327,5.716894492920149,2,0.25,30.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om180,0.8829994133590646,0.1596977056968631,24.930210706507143,286.80832446843897,303.0668345616973,49.59316859048809,322.74316859048804,90.0,False,507.2790847692249,36,442.06601652581514,49.59325148026787,49.593085700708315,30.276467476532503,10.475659628182484,19.80080784835002,36.94113373266263,1.6452559792406398,35.29587775342199,25.83646502651905,7.648148535409145,34.27643557481518,22.36505914814139,25.177353340637616,4.912200031792338,2,0.25,30.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om270,1.2481316149214106,0.1390635470883844,23.746185182037564,38.02109352297312,509.3172274271904,-57.17076820124487,215.9792317987551,,True,399.61156329849064,25,220.55547392364423,-57.17077692763843,-57.170759474851295,-53.618000055424346,-68.52913819946463,14.91113814404028,-46.75206959995077,-71.82198079234705,25.069911192396276,-58.76268961667914,7.306865932197596,-72.48750121691778,-61.32814418447201,-58.71711419131923,4.569765520926923,1,0.25,30.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om90,0.9892361890096284,0.3785730925865211,21.69865698032752,206.44028573383235,359.37493532798686,27.644954725723316,300.7949547257233,90.0,False,651.5145263725566,28,375.6541722377334,27.64028980229388,27.649619649152744,28.67337544147903,-6.254320569492914,34.92769601097194,47.5926354688053,-12.811315626304923,60.40395109511022,8.913488980423299,9.368600951920994,12.328221710050403,33.01656088428406,23.574261305584145,5.405464056882556,2,0.25,30.0,0.0,90.0
