run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om120,0.9408608092394688,0.0582792180723722,24.69363658777195,357.59697609621924,333.3387929535604,30.663756214935145,303.8137562149351,90.0,False,585.8075474248133,21,385.0225493127975,30.663756239844172,30.66375619002611,13.533056533131836,-0.2746018897223307,13.807658422854166,267.38740390114526,False,15.61886043338867,15.181273567692205,2.723479474727712,0,1.0,30.0,180.0,120.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om135,0.9741999093039369,0.0554565621455216,23.975590357812063,34.75643481101249,351.212462061814,21.87999437712818,295.02999437712816,90.0,False,568.3403267491805,19,359.06313176150695,21.868191611872646,21.891797142383716,5.869296044318126,-7.770102531600886,13.639398575919012,249.02935851550185,False,6.835098595581707,7.517513078878497,2.5137640550870843,0,1.0,30.0,180.0,135.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om15,0.9034039061332982,0.131918806353023,24.679052376165217,259.21095229512184,313.6322663994277,42.479636037277025,315.629636037277,90.0,False,494.92052436450905,23,420.5778477099984,42.47963603606603,42.47963603848803,21.859112270622756,11.218416134816092,10.640696135806664,292.0826258993656,False,27.434740255730553,23.507329305183127,3.3978237530917665,0,1.0,30.0,180.0,15.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om150,1.0200049673412417,0.0615420416719575,23.247776622507143,72.28667100495201,376.27140968584285,9.850233013584939,283.00023301358493,61.37544904657465,False,531.8958742941894,22,327.6555662516143,9.758797436794236,9.941668590375645,-7.062396740303652,-19.0613928776566,11.99899613735295,223.88688305704753,False,-5.194662767961535,-5.4141797057432814,2.3989073890625034,0,1.0,30.0,180.0,150.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om165,1.0859376564208412,0.080695645140718,22.41726003867892,103.51083105797596,413.33780619152935,-44.64016423850283,228.50983576149716,,True,476.5384093562585,31,289.47228421276805,-44.64016423880841,-44.64016423819725,-46.82473350962816,-56.08674754568271,9.262014036054552,110.00197673099808,False,-59.6850600200493,-45.17651647506779,2.580233900048721,0,1.0,30.0,180.0,165.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om180,1.1640506294625907,0.1071822731662772,21.60631870645368,122.52339732307884,458.7283652879398,-51.35156082498777,221.79843917501222,,True,419.20935242845667,20,252.5593374961868,-51.35156082530487,-51.35156082467065,-52.88885383061831,-61.68889605655309,8.800042225934781,95.97517754148276,False,-66.39645660653424,-51.24063679605794,3.01596123605484,0,1.0,30.0,180.0,180.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om195,1.2326267610090156,0.131824947412368,21.05526313150161,132.11249480249242,499.8563099027675,-56.196350783962764,216.9536492160372,,True,379.603956011666,17,225.91323114878443,-56.19635078471009,-56.19635078321542,-57.241793866822206,-65.71075945127534,8.46896558445313,85.84952809460256,False,-71.24124656550924,-55.59357683226184,3.311156855648493,0,1.0,30.0,180.0,195.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om210,1.2515039118312072,0.1416877157003799,21.14047263259973,137.08438927643516,511.3827891046742,-57.37137386518809,215.77862613481187,,True,372.3540193895822,17,219.4509083506634,-57.371373865576466,-57.37137386479973,-58.22907307095651,-66.65705643564557,8.427983364689062,83.39376219360481,False,-72.41626964673456,-56.58085603639614,3.252295481859183,0,1.0,30.0,180.0,210.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om225,1.1876203735785211,0.1057812674687118,22.24861421922366,139.1845780177767,472.7311813340805,-53.1630037870802,219.9869962129198,,True,397.69173505733227,19,242.5975213609378,-53.16300378738346,-53.1630037867769,-54.40811130043863,-63.01494941053516,8.606838110096533,92.1892577912537,False,-68.20789956862667,-52.75989426587826,2.739889110657637,0,1.0,30.0,180.0,225.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om240,1.0522660508002983,0.0445482124556817,25.020643420515256,151.69529851794704,394.2630968451272,-0.5720145584675839,272.5779854415324,46.23825730732021,False,492.3995134012155,28,307.5943699688008,-0.6095690590745868,-0.5344600578605803,-18.620356205831122,-27.912350627749085,9.291994421917963,202.1043447209617,False,-15.616910340014059,-16.97213917127075,1.9756258934555648,0,1.0,30.0,180.0,240.0
