run,Score,Earth_s,Earth_da_AU,Earth_de,n_ejected,ejected_bodies,top_impact_body,top_impact_raw_r,bh_rp_au,bh_vinf_kms,bh_inc_deg,bh_tperi_offset_days,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p75__vinf25__inc0__toff59132__Om270__om165,7.5465995684397935,1.0082052634945198,-1.438440225091734,2.583608755788643,2,"Earth,Moon",Moon,89.50713591276352,0.75,25.0,0.0,59132.0,270.0,165.0
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om0__om285,7.529378772466721,0.2944796977740512,-0.1766815227194467,0.1414499993400679,2,"Mercury,Uranus",Mercury,2031.0462994439135,0.25,25.0,60.0,59132.0,0.0,285.0
20260811_184731__rp0p25__vinf25__incm60__toff59132__Om180__om105,7.529378481318753,0.29447969795647566,-0.1766815228439729,0.1414499994841763,2,"Mercury,Uranus",Mercury,2031.0449300222629,0.25,25.0,-60.0,59132.0,180.0,105.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om270__om15,7.517577179181473,0.30341256998715305,-0.1811896653339957,0.1506616716843448,2,"Mercury,Uranus",Mercury,1314.411704558991,0.25,25.0,-30.0,59132.0,270.0,15.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om90__om195,7.517576235755937,0.3034125701282948,-0.1811896655136556,0.1506616716952334,2,"Mercury,Uranus",Mercury,1314.4088456117381,0.25,25.0,30.0,59132.0,90.0,195.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om180__om240,7.452980868773539,0.7597267095891305,-2.735482553530483,1.4846147008371002,3,"Venus,Earth,Moon",Moon,34.43009220609311,0.25,25.0,-30.0,59132.0,180.0,240.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om0__om60,7.452980834827678,0.7597267033916583,-2.7354825542097587,1.4846147739547462,3,"Venus,Earth,Moon",Moon,34.43011425137043,0.25,25.0,30.0,59132.0,0.0,60.0
20260811_184731__rp0p5__vinf25__inc30__toff59132__Om0__om60,7.318358593282702,0.8419611005528591,-1.9931326615729303,1.3198565096620736,2,"Earth,Moon",Moon,140.15119461140839,0.5,25.0,30.0,59132.0,0.0,60.0
20260811_184731__rp0p5__vinf25__incm30__toff59132__Om180__om240,7.318219424895978,0.8419332668608448,-1.9932663609592165,1.3013848953313876,2,"Earth,Moon",Moon,146.57713976248394,0.5,25.0,-30.0,59132.0,180.0,240.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om0__om180,7.276518753175646,0.6322044058346727,-0.4095458134534436,0.6873816986310146,3,"Mercury,Mars,Neptune",Neptune,3.5552845980878094,0.25,25.0,30.0,59132.0,0.0,180.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om180__om0,7.275856885025093,0.6322141841335733,-0.4097279829200692,0.6870645845385931,3,"Mercury,Mars,Neptune",Neptune,3.5553876869388716,0.25,25.0,-30.0,59132.0,180.0,0.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om270__om255,7.257204958525963,0.6563051375727929,-0.4343266655364542,0.7396158125553255,2,"Uranus,Neptune",Neptune,3.314027018299383,0.25,25.0,30.0,59132.0,270.0,255.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om90__om75,7.254736349913181,0.6558361834040773,-0.4332789635620269,0.7397627568861304,2,"Uranus,Neptune",Neptune,3.3139859717351507,0.25,25.0,-30.0,59132.0,90.0,75.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,7.198059057912554,0.6153070999884488,-0.4084486254932098,0.6214046691356514,1,Neptune,Neptune,3.9725461592082634,0.25,25.0,0.0,59132.0,0.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om90__om75,7.197733986595848,0.6152044151516731,-0.4083033036715385,0.621288503781832,1,Neptune,Neptune,3.9725474385002673,0.25,25.0,0.0,59132.0,90.0,75.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om345,7.197733986595848,0.6152044151516731,-0.4083033036715385,0.621288503781832,1,Neptune,Neptune,3.9725474385002673,0.25,25.0,0.0,59132.0,180.0,345.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om270__om255,7.197733986595848,0.6152044151516731,-0.4083033036715385,0.621288503781832,1,Neptune,Neptune,3.9725474385002673,0.25,25.0,0.0,59132.0,270.0,255.0
20260811_184731__rp0p25__vinf25__incm90__toff59132__Om180__om195,7.177291243196805,0.2510932018090116,0.3328128989842803,0.1631400269786692,2,"Mercury,Saturn",Mercury,661.9884479919264,0.25,25.0,-90.0,59132.0,180.0,195.0
20260811_184731__rp0p25__vinf25__inc90__toff59132__Om0__om15,7.177291077374137,0.2510932019222,0.3328128991408493,0.1631400267001015,2,"Mercury,Saturn",Mercury,661.988194102672,0.25,25.0,90.0,59132.0,0.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om90__om60,7.0264725999249675,0.5779125339509924,-0.3726304926622067,0.549189925965751,1,Neptune,Neptune,4.372680627895801,0.25,25.0,0.0,59132.0,90.0,60.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om330,7.026186329383025,0.5778504675172295,-0.3724711333059211,0.5492570247624307,1,Neptune,Neptune,4.372685717221379,0.25,25.0,0.0,59132.0,180.0,330.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om270__om240,7.025381791309581,0.5776924548032437,-0.3718874769972142,0.5497474901113925,1,Neptune,Neptune,4.37275949267704,0.25,25.0,0.0,59132.0,270.0,240.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,7.023468603178353,0.5773152111895219,-0.3708912492448999,0.5501998615576562,1,Neptune,Neptune,4.372713113183024,0.25,25.0,0.0,59132.0,0.0,150.0
20260811_184731__rp0p5__vinf25__incm30__toff59132__Om180__om330,7.021152439988018,0.6642199691684916,-0.4204118558422802,0.8031729387691456,3,"Mercury,Jupiter,Neptune",Neptune,4.129246752985565,0.5,25.0,-30.0,59132.0,180.0,330.0
20260811_184731__rp0p5__vinf25__inc30__toff59132__Om0__om150,7.020831107066764,0.6641470997577245,-0.4202160336332396,0.8032334462975969,3,"Mercury,Jupiter,Neptune",Neptune,4.129250568162768,0.5,25.0,30.0,59132.0,0.0,150.0
20260811_184731__rp0p75__vinf25__incm30__toff59132__Om180__om300,7.002952191508182,0.5025320518028553,-0.1405228977064273,0.6163130940858511,4,"Mercury,Venus,Jupiter,Neptune",Mercury,5.696488731977681,0.75,25.0,-30.0,59132.0,180.0,300.0
20260811_184731__rp0p75__vinf25__inc30__toff59132__Om0__om120,7.002903150337639,0.5025134032142066,-0.140432329090387,0.6163471644999965,4,"Mercury,Venus,Jupiter,Neptune",Mercury,5.697031895278425,0.75,25.0,30.0,59132.0,0.0,120.0
20260811_184731__rp0p75__vinf25__inc30__toff59132__Om0__om30,6.976051035962065,0.31138276262699455,0.4875876831087457,0.2202448784394481,1,Mercury,Mercury,851.1380206599704,0.75,25.0,30.0,59132.0,0.0,30.0
20260811_184731__rp0p75__vinf25__incm30__toff59132__Om180__om210,6.976051013734558,0.3113827623634664,0.4875876823372133,0.2202448782173626,1,Mercury,Mercury,851.137979645775,0.75,25.0,-30.0,59132.0,180.0,210.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om180__om300,6.896788327668808,0.8667836193481031,-2.5446152632033576,2.0024223261979417,3,"Earth,Neptune,Moon",Moon,10.793109928179128,1.25,25.0,-30.0,59132.0,180.0,300.0
20260811_184731__rp1p25__vinf25__inc30__toff59132__Om0__om120,6.896381071728181,0.8667021681764977,-2.544615031087726,2.0020631094309453,3,"Earth,Neptune,Moon",Moon,10.874523994634261,1.25,25.0,30.0,59132.0,0.0,120.0
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om0__om165,6.848611686701008,0.5718883491677825,-0.3713865205544735,0.5302195498311281,1,Neptune,Neptune,3.7509475746397873,0.25,25.0,60.0,59132.0,0.0,165.0
20260811_184731__rp0p25__vinf25__incm60__toff59132__Om180__om345,6.844562467836356,0.5709940722260866,-0.3686955024985634,0.5319393907197337,1,Neptune,Neptune,3.750974579256543,0.25,25.0,-60.0,59132.0,180.0,345.0
20260811_184731__rp0p5__vinf25__inc30__toff59132__Om0__om135,6.761033359277729,0.5780731009593953,-0.3440352759765972,0.5985369703919399,2,"Jupiter,Neptune",Neptune,4.463384741481648,0.5,25.0,30.0,59132.0,0.0,135.0
