run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om180,0.9607405421394982,0.0671604761347322,22.78443539155276,324.7763125342824,343.95922923179074,26.748351426402298,299.89835142640226,90.0,False,491.69703407197466,21,369.4601165312479,26.768461300337453,26.728241552467136,7.7227020306946725,-4.0773412626160255,11.800043293310697,256.70022866233285,False,11.79685806293533,12.29559091959645,2.416152033784828,0,1.25,90.0,90.0,180.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om195,0.963926116789116,0.0735671787179679,22.666080291571784,328.7748635485757,345.6713703221095,25.983382907810206,299.1333829078102,90.0,False,489.4335819277025,21,367.1884907667842,26.004579361242897,25.962186454377516,6.893545071455024,-4.875089103328483,11.768634174783507,255.0905541001901,False,11.031889544343239,11.466433960356799,2.556590435957811,0,1.25,90.0,90.0,195.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om210,0.9677129419967608,0.0760233847017553,22.565677316965893,330.0677739608664,347.7103468704564,24.992521744221158,298.14252174422114,90.0,False,485.14719825524355,22,364.3876846555248,25.015666349235563,24.969377139206745,5.8069560313047255,-5.8514873514508645,11.65844338275559,253.03588016946455,False,10.04102838075419,10.379844920206502,2.6215474838921287,0,1.25,90.0,90.0,210.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om225,0.9714023704307678,0.0743467445904147,22.43708979936364,329.2889585492931,349.70072180802634,23.982763238116487,297.13276323811647,90.0,False,478.84219845324685,22,361.5791783484982,24.00665299000136,23.95887348623161,4.6768481048387835,-6.81643484007575,11.493282944914533,250.97414566266218,False,9.031269874649519,9.249736993740559,2.5907395026642144,0,1.25,90.0,90.0,225.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om240,0.9773116942977976,0.0693051658690694,22.28274898162784,326.0593745944781,352.8965670285815,22.284370956536446,295.43437095653644,81.4509211694784,False,468.2485460586304,21,357.0898112757785,22.31778272310664,22.250959189966256,2.7829133810676567,-8.43342669521525,11.216340076282906,247.5833394076413,False,7.332877593069478,7.355802269969432,2.414828328213906,0,1.25,90.0,90.0,240.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om255,0.9833140377671222,0.0600010475026384,22.09841762942801,320.3392663502778,356.15262459346656,20.47027713989535,293.62027713989534,75.16488841802429,False,457.4168982422589,21,352.5306026962697,20.515254145015874,20.425300134774826,0.7290602379677963,-10.208435113125757,10.937495351093554,244.06216893675617,False,5.518783776428384,5.301949126869572,2.0216444903382715,0,1.25,90.0,90.0,255.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om270,0.992217743340322,0.0475075203820907,21.95224408107421,306.9607943726521,361.0008910998782,17.641369568467525,290.79136956846753,67.25314872563517,False,444.38205134211466,16,345.99896788674437,17.67615282114326,17.60658631579179,-2.5742861148991274,-13.05837346519899,10.484087350299863,238.76015355768516,False,2.689876205000557,1.9986027740026486,1.4448350975834403,0,1.25,90.0,90.0,270.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om285,1.0077275630286229,0.0404769913100772,21.898302289428347,276.7303471902029,369.49834410909295,12.38236869294323,285.5323686929432,61.37544904657465,False,426.44640777645424,25,335.3265355497657,12.465449700495265,12.299287685391194,-8.74154066314822,-18.195985820548874,9.454445157400654,229.4080892588911,False,-2.5691246705237383,-4.1686517742464435,1.048289440379789,0,1.25,90.0,90.0,285.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om30,0.757004485312519,0.3940172117789406,28.13334768988904,298.5358524858862,240.57221644576452,81.25701261548987,354.40701261548986,90.0,False,846.3743491199984,16,646.0066905178505,81.4450556201063,81.06896961087347,59.46394132496328,48.008352040800325,11.455589284162954,447.47399701041996,True,66.3055192520229,64.03683021386506,4.655916482281495,1,1.25,90.0,90.0,30.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om300,1.0235731842898823,0.0458163338191626,22.039150573834537,241.55001989402496,378.2475640854954,5.895312327813429,279.0453123278134,52.08179734355447,False,416.1761738983704,36,325.09974985561325,5.936896348670123,5.853728306956737,-16.69638364777112,-24.697546372660355,8.001162724889234,218.52693876219266,False,-9.056181035653537,-12.123494758869345,0.786617345990167,0,1.25,90.0,90.0,300.0
