run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,years_to_equilibrium,T_overshoot_K,max_hemis_asymmetry_K,max_hemis_asymmetry_year,final_hemis_asymmetry_K,iceline_start_deg,iceline_end_deg,iceline_migration_deg,iceline_peak_rate_deg_per_yr,T_year1_degC,T_final_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om180__om180,1.3253890474174097,0.1788449858694962,24.900248009685736,104.89337896596768,557.3305589325444,8,2.1316282072803006e-14,3.598314371799992,1,7.105427357601002e-13,,,,,-3.0974060733405926,-61.47818186033883,10.586318156584063,-76.51793565381574,3.669987872919107,0,0.75,-60.0,180.0,180.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om180__om270,0.9354100634892948,0.4535323133459731,26.050897805851243,191.2919235100084,330.4462648179393,11,0.0,11.161575339982342,1,1.2363443602225743e-12,64.15806723683289,90.0,25.841932763167108,25.841932763167108,22.022410843203126,47.56322821161893,17.63661188867018,32.523474418142015,4.679131763973884,1,0.75,-60.0,180.0,270.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om180__om90,1.088597636672033,0.0706616921046692,24.1528961447529,10.831033353391735,414.8574285232425,19,0.0,3.4519491457881912,1,2.7711166694643907e-13,70.81186354627908,8.305109528050396,-62.50675401822869,14.369173308199784,9.858493613065331,-44.93709973031898,9.105641324277222,-59.97685352379589,3.269796968700854,1,0.75,-60.0,180.0,90.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om270__om0,1.0772089092555093,0.0949982009858987,19.617772573826056,13.88600669358344,408.36423150316494,52,0.0,2.5748492696278102,1,9.067690598385525e-09,70.81186354627908,12.187474135425045,-58.624389410854036,14.369173308199784,10.641455125807365,-43.7154164055421,7.828200677662856,-58.75517019901901,3.1527466807864624,0,0.75,-60.0,270.0,0.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om270__om180,1.7544597020585568,0.563190699743264,22.07056015323993,146.34164623962752,848.8146888567097,6,8.526512829121202e-14,4.679557911769493,1,1.3073986337985843e-12,,,,,-20.606503431488306,-72.95026752537906,13.6268807881561,-87.99002131885598,5.066973834538976,1,0.75,-60.0,270.0,180.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om270__om270,0.8173912690065739,0.1529862618892374,21.683888270006253,233.9853133475364,269.92479615152723,15,0.0,5.351522112886681,1,1.9184653865522705e-12,75.16488841802429,90.0,14.83511158197571,14.83511158197571,26.607739491186056,74.31289940881912,9.754995585881524,59.27314561534221,3.951452174614636,1,0.75,-60.0,270.0,270.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om270__om90,1.164108944602132,0.0704111010443465,22.38568070389884,80.22043255368715,458.762836911835,11,0.0,1.3371234376019006,1,1.9184653865522705e-13,58.82116446134409,20.147886287247108,-38.67327817409698,21.151277497014462,5.687327458503997,-51.50730831809702,8.826894571743196,-66.54706211157394,2.430298220070376,0,0.75,-60.0,270.0,90.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om90__om0,1.222831362127292,0.3898353235755761,29.126141671058804,136.11631332220566,493.9097998794573,10,1.0658141036401503e-13,7.882431190607707,1,9.876544027065393e-13,48.11140308495899,27.100685348240216,-21.01071773671877,21.01071773671877,3.928169790645729,-52.3461590605876,15.672688201376658,-67.38591285406451,4.424985181533355,2,0.75,-60.0,90.0,0.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om90__om180,1.0761511358550244,0.0793526095202459,26.059540791119467,8.81505525144851,407.7628846893178,28,0.0,3.9758533960791738,1,6.323830348264892e-13,75.16488841802429,7.020370749121086,-68.1445176689032,16.3437239566802,10.525257662075951,-43.684676536785524,9.845209984895305,-58.724430330262436,2.9978696263818585,0,0.75,-60.0,90.0,180.0
20260724_230314__rp0p75__vinf25__incm60__toff56210__Om90__om270,1.123948431873705,0.0777598565159083,22.906434593103945,174.7968463237972,435.2285425864044,13,1.4210854715202004e-14,6.492421648113111,1,8.526512829121202e-13,54.2046324563124,12.187474135425045,-42.01715832088736,13.49181448403181,7.912869185149622,-48.15153113122778,8.12666343729606,-63.19128492470469,2.475194622669913,0,0.75,-60.0,90.0,270.0
