run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om0__om270,1.1365466663583144,0.0789736453130565,24.681518485278517,27.627602987223952,442.5666651588338,-49.22983002055131,223.92016997944867,,True,436.5916497767935,21,264.2300103477109,-49.229830020287075,-49.22983002081556,-50.61974987687886,-60.05614448401002,9.436394607131156,-64.26958381402822,3.541252475514339,1,0.5,60.0,0.0,270.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om0__om90,0.995909348347098,0.3704848873570792,22.33215896383814,205.4804940887965,363.0174517445183,25.530319237105964,298.68031923710595,90.0,False,646.4642109153458,19,369.333167063016,25.626323364269844,25.43431510994208,8.927717593073323,-2.2021579394298194,11.129875532503142,10.49056544362905,4.52488643286097,1,0.5,60.0,0.0,90.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om180__om0,0.8122681946072988,0.2533652417709084,26.312469689180237,257.5939695831813,267.3911091279981,79.65592835103222,352.8059283510322,90.0,False,548.5825443722888,28,533.0970903693636,79.65592834972917,79.65592835233524,52.322884099448146,43.21737124814207,9.105512851306074,64.6161745575553,4.287351119049056,1,0.5,60.0,180.0,0.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om180__om180,1.4943485030238663,0.286933569028317,20.28909638836616,94.49896361014434,667.2300995889104,-68.35250346057386,204.7974965394261,,True,390.89065791956244,13,159.05645091447877,-68.35250346062972,-68.352503460518,-66.89102017900676,-77.11328566348362,10.222265484476864,-83.39225725405078,3.983318051754152,0,0.5,60.0,180.0,180.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om180__om270,0.9952566737771484,0.1829205964677053,28.861231768064943,157.77718070523733,362.660652046868,17.98991063107196,291.1399106310719,90.0,False,761.3139312789633,19,349.3960642204272,17.961390777731786,18.018430484412136,6.685841997493307,-10.300196947026091,16.9860389445194,2.9501568375950473,2.303928804614819,0,0.5,60.0,180.0,270.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om180__om90,1.081813964660798,0.0515698566865538,23.01131563622403,166.085401831544,410.9856565868619,-44.340729943624375,228.8092700563756,,True,430.3943603874157,33,291.119454557874,-44.340729943640994,-44.340729943607755,-46.835672051369784,-55.2539050316225,8.418232980252718,-59.38048373710129,1.756904986674532,0,0.5,60.0,180.0,90.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om270__om0,1.1210749057157277,0.0898730894813253,26.59220335917593,20.21090034581536,433.560528911378,-47.84901858280557,225.3009814171944,,True,477.2201023867064,22,271.8253329027856,-47.84901858247127,-47.849018583139866,-48.77581889650131,-58.915701025698105,10.139882129196792,-62.88877237628248,3.4860592211142825,0,0.5,60.0,270.0,0.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om270__om180,0.9412098153109284,0.3054451518810283,25.77843810498793,169.33882118996124,333.5242848713097,36.65087857241613,309.8008785724161,90.0,False,933.0217567568175,22,403.359834755508,36.65087855970634,36.65087858512591,22.2690215767584,4.923389103555604,17.345632473202798,21.61112477893922,4.569737751196018,2,0.5,60.0,270.0,180.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om270__om270,0.8933719610863349,0.0557603277016252,29.992112385094988,267.6192113126121,308.42265193205367,44.028469111875275,317.17846911187524,90.0,False,688.3698713662793,24,426.9821378177093,44.02846911251694,44.028469111233605,27.64901030069887,12.372576227439488,15.27643407325938,28.988715318398363,2.88563969300244,0,0.5,60.0,270.0,270.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om270__om90,1.1727884753204865,0.0806559851337644,24.124593625963417,169.38279214667313,463.90315353975376,-52.14706429057632,221.00293570942367,,True,387.65839201732797,19,248.1852667708616,-52.14706429126207,-52.14706428989056,-53.33069337854676,-61.79126021543166,8.460566836884901,-67.18681808405323,2.6759752794730245,0,0.5,60.0,270.0,90.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om0,1.2465930161880376,0.3486696378237016,25.07784895299068,161.02503103276925,508.3757482420899,-54.79691644041381,218.35308355958617,,True,617.0523423793907,17,233.61208355307946,-54.79691644128654,-54.79691643954108,-53.21822106830946,-64.74836511152454,11.530144043215074,-69.83667023389073,4.81476795884786,1,0.5,60.0,90.0,0.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om180,1.1331262724958469,0.1169953202676382,18.49126238306263,30.09301581630381,440.5703377534183,-48.756617477004774,224.3933825229952,,True,383.8236741948858,22,266.8298033506293,-48.756617476912886,-48.75661747709666,-51.99330555432329,-59.78554288849117,7.792237334167879,-63.796371270481686,3.48365754773184,0,0.5,60.0,90.0,180.0
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om270,1.2213455575072458,0.092492452376449,22.350655212986428,65.43583436941748,493.00988368197096,-55.620873432389736,217.52912656761023,,True,382.20877611670045,18,229.07973617860588,-55.62087343238529,-55.62087343239419,-56.66521914049562,-65.55386671424631,8.888647573750688,-70.66062722586665,2.841399027390615,0,0.5,60.0,90.0,270.0
