run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om30,0.967144374458604,0.0689043478535088,22.71508399253448,350.0565275213217,347.40395264043013,23.928986179270034,297.07898617927003,90.0,False,513.3394587052684,29,364.62709943681756,23.9342946000346,23.923677758505452,13.482978348537769,-11.158980171473033,24.641958520010803,253.34573739564027,False,24.025743216764752,-19.34406150881761,43.36980472558236,5.159605654239824,9.493250814691661,8.610140470291695,9.38257202324106,8.35211752011262,3.0663914135572456,1,1.5,-30.0,270.0,30.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om300,0.940078695102624,0.0910952102840729,23.5728644493073,255.3535732137978,332.9232350006095,31.27144503854733,304.4214450385473,90.0,False,474.49675692229874,32,386.615438374958,31.28388226722099,31.25900780987368,16.817820493836443,-3.6100607126766007,20.427881206513042,268.67795581077587,False,23.762809651869066,-11.6575131963418,35.420322848210866,11.018640459759721,7.995602878055489,15.952599329568992,9.119638458345374,11.686959665411294,2.4798707206492727,0,1.5,-30.0,270.0,300.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om315,0.9426924212957916,0.087223877004136,23.494237740425586,270.1675043818258,334.3126528391419,30.516875007770032,303.66687500777,90.0,False,469.9851514467928,32,384.34078812080816,30.532020172536082,30.50172984300397,15.819210110585754,-4.385783062314257,20.20499317290001,267.10405153970015,False,22.756672358440518,-12.378040086006461,35.134712444446976,10.289038701263557,8.015959441502966,15.198029298791694,8.113501164916826,10.688349282160605,2.231138082185215,0,1.5,-30.0,270.0,315.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om330,0.946632441354252,0.0828091420062582,23.357557113462143,285.11254644620846,336.41075062548526,29.410077829035572,302.56007782903555,90.0,False,471.5275983773413,30,381.0040136833211,29.429206619279952,29.39094903879119,14.998367442497532,-5.48071895406101,20.479086396558543,264.797962656076,False,22.335245214788944,-13.445158617617304,35.78040383240625,9.342279433848894,8.17278938932235,14.091232120057233,7.6920740212652525,9.867506614072383,2.304519165009705,0,1.5,-30.0,270.0,330.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om345,0.9516768877882318,0.0791563566615538,23.20216640634195,300.3465661405046,339.1033449716484,28.03442170325044,301.1844217032504,90.0,False,477.2409804636507,30,376.86339440772065,28.05531010335151,28.013533303149377,14.302712803125877,-6.874691143054072,21.17740394617995,261.92837956940144,False,22.282620721816567,-14.858324973903727,37.14094569572029,8.238002927125127,8.424299499114236,12.715575994272102,7.639449528292875,9.171851974700727,2.540516205141189,0,1.5,-30.0,270.0,345.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om45,0.9739617559377496,0.064070866140481,22.54517774273237,6.375048404071307,351.0836835884283,22.139023676489433,295.2890236764894,90.0,False,521.0865052892485,28,359.42440830319896,22.11640004454101,22.16164730843786,12.635178249018892,-12.885337610903845,25.52051585992274,249.59010147138,False,23.795349679346675,-21.16779902199194,44.96314870133861,3.6577160893135896,9.726426897940051,6.8201779675110945,9.152178485822983,7.504317420593743,3.1993485906129235,1,1.5,-30.0,270.0,45.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om60,0.9887060535484364,0.0574343830742729,22.38136821165148,26.2432476514215,359.0860884294913,18.335677084089596,291.48567708408956,75.16488841802429,False,518.5380375614884,27,348.64323037592584,18.23637599888502,18.434978169294173,9.601005968691446,-16.290301788369938,25.891307757061384,241.60683792575622,False,21.19936078190208,-24.346785680042593,45.54614646194467,0.12151429376296462,9.793043524021334,3.0168313751112574,6.556189588378388,4.470145140266297,2.987870278884347,1,1.5,-30.0,270.0,60.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om75,1.0114502778347751,0.0471213115381866,22.223503703938828,53.286262978455895,371.5477172611441,12.549312776127413,285.6993127761274,64.15806723683289,False,501.62520028792187,23,332.9597613230991,12.351880658145129,12.746744894109693,3.9440421210942134,-21.298944198183502,25.242986319277716,229.48157431681182,False,15.780794318518586,-28.820198445052704,44.60099276357129,-5.749045063264669,9.488796210968323,-2.7695329328509253,1.137623124994894,-1.1868187073309358,2.346336631672999,0,1.5,-30.0,270.0,75.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om270__om90,1.041566016715496,0.0447813245751868,22.09087536751534,95.51426028428293,388.26477639399855,4.430101689509759,277.5801016895097,54.2046324563124,False,476.1541302100738,30,313.9499568035255,4.306448422875625,4.5537549561438935,-3.9716627929508093,-28.159967720156637,24.188304927205827,212.39075737020488,False,8.044962744829409,-34.86403845496517,42.909001199794574,-14.540521715237698,8.240490625061575,-10.888744019468579,-6.598208448694283,-9.102523621375958,1.9068532843913932,0,1.5,-30.0,270.0,90.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om90__om0,0.8722243171013724,0.3650170374088626,36.87915032156092,288.040325922295,297.5363807560917,60.75081280389812,333.9008128038981,90.0,False,642.4239443708435,37,480.3874805977681,60.75083906409415,60.75078654370212,47.86322286005047,21.44762173704387,26.4156011230066,330.2695704853916,True,59.412030892896986,10.054943522435128,49.357087370461855,40.46150051295651,8.150970678244825,45.431967094919784,44.768859699373294,42.73236203162532,3.7779777700247887,0,1.5,-30.0,90.0,0.0
