run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_liquid_water_possible,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om0,1.313123713945709,0.448466391795525,21.68980707426742,259.960091852052,549.6083965327268,218.10317702328155,234.43524921466707,180.98915016629866,332.7366306606325,145.95571649570104,122.47775986166253,622.7311868310654,468.7788333073486,734.381707681868,0.3616686957153592,1040.411384009152,0.2111111111111111,0.15,3,220.77334751181962,0.0,0.631777403379176,False,False
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om180,2.133484639914675,0.2277909207992687,25.94475598688928,158.60130287085636,1138.2277593542276,170.88836459506607,185.34742553342164,132.19650104784392,216.81047605965503,121.2973989675317,44.27150424280724,70.39467417804016,5.570872363909312,153.65737597950664,0.9637448425212448,6776.3705028219865,0.0,0.0,42,76.76962732725241,0.09444444444444444,0.007507914237074531,True,False
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om270,1.8602212898938475,0.1692322557355434,27.3554464815574,151.38607075304557,926.7056440363164,182.90315506778495,198.48354131885543,142.38430554070018,227.06392218209734,139.7320043876013,35.26881764079931,278.9856998835821,177.49715003100476,377.9909511185927,0.530419578813367,6192.773458268808,0.0,0.0,100,99.76511464588536,0.0,0.2392144879124054,False,False
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om90,1.2421968008498092,0.2578491240525153,34.75207673121007,294.21465594044474,505.6855012907904,222.29542437627524,239.89024804351985,195.32798790932483,328.40141578370014,145.7596560665953,68.65991792965372,605.9045009239227,455.2296837465094,727.5041123682053,0.3742582674005449,821.3833745118739,0.11666666666666667,0.11666666666666667,2,228.22170364376018,0.0,0.6135170939979911,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om0,2.695774964104904,0.4541760099279486,24.03637510535816,185.38876259444964,1616.6661527801143,149.55934242161743,163.6266563093671,113.27841495288826,226.73916091316187,76.19045174966229,87.66076876954924,29.53700904146807,0.0,113.38757290201261,1.0,4967.978263764856,0.0,0.0,20,52.55282477005061,0.4166666666666667,-0.09835028660088785,True,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om180,1.2784897668356114,0.2222938829894817,22.06880111146646,318.1319846286245,528.0083331135789,222.63068455739247,240.24027821890044,174.2146075467194,280.68023263537714,147.52662399553083,56.58267457680555,659.4600387782896,591.2926506452044,722.472990022837,0.18157127143740848,796.0657904440444,0.05555555555555555,0.05555555555555555,2,213.50499740310497,0.0,0.7968903647509494,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om270,1.908195696656231,0.129630134412669,19.69501579647498,168.7757089610926,962.784878180429,182.78533226285776,197.45050459861307,131.85479221900417,213.88695502249743,128.25619827271515,26.00154556745691,48.24405611670143,23.129137741407366,79.10826546841399,0.7076267871068129,9186.86968008736,0.0,0.0,58,94.23934348006368,0.0,0.031171344664969514,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om90,1.20517952784462,0.407469045187018,39.247338562399065,301.5232040281809,483.2507213969311,223.10228977283847,240.1362805941319,210.43077709579578,380.25662291679936,144.32411550685507,115.80967509212405,563.0703296465676,366.36479726462244,741.0373690245989,0.5056055030708433,863.56286359293,0.23333333333333334,0.23333333333333334,2,256.5190923014423,0.0,0.49375309604396556,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om0,1.306944562375104,0.2266302444371298,23.82751750876809,317.76533317732105,545.7335348404358,219.74279407902657,237.20680221018125,174.84726767192265,281.749330584149,147.22728906585368,57.30769993322084,645.9114030141874,565.9193089825856,720.3052125308055,0.21433400850423157,821.5831534744955,0.0,0.0,2,204.51886560784519,0.0,0.7626944864994415,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om180,2.4818195221977426,0.4342694315155521,23.244857699583225,197.0497221890406,1428.072272603092,156.8165847154533,170.78908274332568,117.31952804600368,232.93648246771122,76.19045174966229,86.30719394245392,36.32863039423742,0.0,123.05941988748594,1.0,7679.598027416639,0.0,0.0,46,61.32499858337794,0.3388888888888889,-0.08539518073655272,True,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om270,1.544492776556927,0.1759567658415,25.483497414254515,175.83765808483068,701.0899063295632,201.73276485509967,218.21915110038339,156.01314715089762,244.1311180099123,146.82755463621154,39.631766859840035,586.67243317006,533.5763631756278,675.2070643309539,0.20975891491251586,866.8182773531636,0.0,0.0,3,144.8957657377243,0.0,0.7191056107488245,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om90,1.584745172918036,0.2405430217320791,35.04554870491344,272.21604306177227,728.6753004983601,196.8896262996612,212.3664590588004,171.87265423460866,286.2710197367265,142.41258215308935,53.70532418650314,502.4600050500726,272.50336434260817,673.490493750308,0.5953864726060456,1046.8660826805792,0.0,0.0,3,139.5795375622533,0.0,0.3672552080089059,False,False
