run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_above_triple_point,frac_year_liquid_water_possible,frac_year_liquid_water_best_lat,best_water_lat_deg,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om195,1.085127810204446,0.4357943410306749,31.729178089309343,184.1289160246309,412.8727626297546,237.05715548521408,256.28977758567135,184.60515216993718,359.6395457605883,147.91304689999438,131.2821990070572,672.2169975245234,625.5733350665856,742.0,0.15690925193182526,577.7350386391211,0.26666666666666666,0.26666666666666666,0.005555555555555556,0.011111111111111112,-10.887948130120165,2,321.0491381810324,0.0,0.8430907480681746,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om210,1.1099324686589385,0.3855267735586496,36.0519838276684,180.0637626341624,427.10998668474167,233.58780054427487,252.71212815633464,186.23436472864046,348.3191982351457,147.6860817339115,111.2820087373421,653.7974562381661,605.2265073020482,742.0,0.18433085269265748,564.952716783114,0.2388888888888889,0.19444444444444445,0.005555555555555556,0.011111111111111112,-42.670233871257594,2,299.3271278326048,0.0,0.8156691473073425,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om225,1.1767727999234523,0.3026868692810696,39.01397786991,174.9676305723923,466.2660822592401,226.63979944843462,245.1709687850271,184.92081137517226,329.45622860374095,147.08753743574192,81.43322858819444,626.9990323097315,554.4149944829257,739.4719168740232,0.25025551095082876,621.9744531863012,0.18888888888888888,0.10555555555555556,0.005555555555555556,0.011111111111111112,-64.15806723683288,2,257.79764840442937,0.0,0.747190019518768,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om240,1.2793049300005643,0.1996381420476153,40.54008200085754,166.80554424881424,528.513399585931,217.57213161440407,235.18887160994115,181.12601421880032,306.91181053881024,146.29258309586595,51.34509077099292,593.9010597764408,492.91656977318456,727.0720237303968,0.32205262520737377,698.1260450522966,0.0,0.0,0.0,0.07222222222222222,-44.4270040008057,2,212.1688694459314,0.0,0.6643080455164212,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om255,1.4232643745429772,0.0980726289150443,40.71146418691598,141.94051325189432,620.1878595244716,206.56821839188203,223.22116314987255,174.64557352313037,285.3108659883855,145.27544110131367,31.404030400739302,551.4783671214905,423.2776760652199,688.5874185334251,0.3852956579329755,794.4262247662816,0.0,0.0,0.0,0.005555555555555556,61.37544904657465,3,168.78181775133186,0.0,0.5704550890366844,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om270,1.6100432327577432,0.0839504300021,39.86880981094743,61.87260814588368,746.193048889004,194.29170146672013,210.162301973697,166.67404766109541,266.41856697912596,143.89077520664665,26.19982208130198,491.59737768955046,342.8253616480071,638.6837105283445,0.4632313992094641,904.4743903627121,0.0,0.0,0.0,0.0,-81.4509211694784,3,131.72216482200477,0.0,0.4620287892830285,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om285,1.83482482644266,0.1714290409926412,38.31586645918861,31.174321459885338,907.7929466355552,181.74241239625468,197.1052025653127,157.26734000264446,239.62268400041282,142.15572379444706,38.90869695785857,406.31422776783495,261.7193604422494,601.4996188798127,0.5648885681263511,1014.6848566947497,0.0,0.0,0.0,0.0,-81.4509211694784,4,102.58552168197816,0.0,0.35272151002998564,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om30,2.8271102697566537,0.4371610451535385,21.85659995567575,29.078369249469294,1736.237030653185,146.93188141930847,160.19997501857353,108.55491874372262,219.73317866528078,76.19045174966229,80.90190208507667,13.835538039343671,0.0,64.35381858987178,1.0,6025.481297367086,0.0,0.0,0.0,0.0,-81.4509211694784,26,47.333415657122245,0.5722222222222222,-0.09444302264148052,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om300,2.0900444992170235,0.2620784645283828,36.30400562896228,23.57750144746044,1103.6419287636656,169.7073162091118,184.8292058644591,145.92631972695574,227.65197506933387,138.70773832559834,52.76425132437913,299.473517899337,150.02045226982318,551.008536380273,0.7277347947177935,1084.935644540697,0.0,0.0,0.0,0.0,-81.4509211694784,4,80.71212798863132,0.0,0.20218389793776703,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om315,2.3564107034005053,0.3363572603027946,33.98390254207211,21.613824316136785,1321.2085407207712,159.5511910509981,174.17630821780017,134.94016068107294,224.82946375606093,76.19045174966229,64.85773554962353,110.5664799320398,0.0,315.7952988624736,1.0,8092.841543886547,0.0,0.0,0.0,0.0,-81.4509211694784,200,65.06803594085385,0.07222222222222222,-0.03479681256760525,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om330,2.588963690096717,0.3962048916103538,31.548130813563013,21.92220186218314,1521.5416031303444,150.867438117529,166.23189015701436,121.47365977208077,223.67920764721964,76.19045174966229,74.96164902348364,74.28186292704686,0.0,237.7906959984068,1.0,4379.9005209994475,0.0,0.0,0.0,0.0,-81.4509211694784,32,55.28748595070039,0.2722222222222222,-0.13365260659223388,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om345,2.6473963752386065,0.4070362483403242,29.17220298999757,23.06090937271241,1573.34276430544,149.86608833033478,164.72570539323237,117.13321467295913,222.5757321334652,76.19045174966229,76.56301651269033,47.86063888788489,0.0,170.7848839853211,1.0,9138.525890201572,0.0,0.0,0.0,0.0,-81.4509211694784,113,53.14880183329983,0.32222222222222224,-0.14095482392484104,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om45,2.778317685536814,0.4230069860684845,19.9202664013204,34.80472260555189,1691.4834291563463,148.97089661914464,161.9496407018977,107.41729454348419,219.06758376532426,76.19045174966229,78.15493990969372,10.391984761745784,0.0,47.47663191553451,1.0,8749.908863705456,0.0,0.0,0.0,0.0,-81.4509211694784,45,48.64582055279118,0.6111111111111112,-0.08328313398181697,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om60,2.693890619769887,0.4191729290695275,18.45522247278005,47.6438046725626,1614.9713766943132,151.6373884169633,164.64230863193933,108.89686778401477,222.44047955523035,76.19045174966229,78.2208469123681,12.139188820230185,0.0,48.86640236717432,1.0,6265.662928369524,0.0,0.0,0.0,0.0,-81.4509211694784,20,51.64129611202614,0.5666666666666667,-0.08225168328476684,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om75,2.5140291784632005,0.3770076602863993,17.553418158595093,65.58385953195862,1455.963082795941,157.75682750771324,170.88692419983195,110.02129428623081,223.14367302696428,76.19045174966229,70.71504560426621,11.553129911973656,0.0,40.123898027682586,1.0,11567.820838372505,0.0,0.0,0.0,0.0,-81.4509211694784,59,58.12299363535534,0.5222222222222223,-0.07044575071155212,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om180__om90,2.149469227376516,0.2679101999983707,16.856181325013374,88.91952117063873,1151.043509504927,171.79828270532846,185.7539206527337,119.77689744636126,222.93930212350062,76.19045174966229,51.4683243028296,25.00549363261409,0.0,53.278951112031095,1.0,8269.912376920447,0.0,0.0,0.0,0.0,-81.4509211694784,26,76.4379874856102,0.25,-0.026777510804483873,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om0,1.985083243958749,0.2830566580622855,23.132759798155423,91.27708592235297,1021.5578786693558,177.62210775731887,192.24763170597333,134.39274320392664,238.58753012596043,121.26425151709896,56.178342510388596,111.55263304804531,5.531061800431519,217.07045029019613,0.9745195083299584,7553.270441183088,0.0,0.0,0.0,0.0,-81.4509211694784,43,90.02753343751434,0.08888888888888889,0.007454261186565336,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om105,0.9663239810953914,0.6853767239577134,22.536742790655317,216.96154231109745,346.9596959548564,249.2317966830305,267.91841228765537,205.5604939083879,584.8633278749116,147.79768773842923,283.303622133391,699.0195821063312,615.1554322810074,742.0,0.17094955218193075,759.5983806845994,0.29444444444444445,0.29444444444444445,0.005555555555555556,0.011111111111111112,5.739170477266791,2,500.39008825657487,0.0,0.8290504478180692,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om120,1.080452644384912,0.5303613259515904,30.22274351273765,221.9510038156952,410.2074064714001,237.06671217598995,255.06275197566447,201.95153505534648,444.9729202207168,146.67834889348967,171.96036267955463,663.5701777707322,521.9405894429818,742.0,0.29657602500945845,811.5222349194388,0.2722222222222222,0.17222222222222222,0.0,0.011111111111111112,20.147886287247108,3,343.80148065318235,0.0,0.7034239749905415,False,False
