run,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,bound_after,days_per_year_after
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om180,1.5235967661275216,0.09339057209513409,25.178048259524978,250.46021629128154,1.8154400574884049,0.1504402561780196,23.67869048426195,15.232719460852632,True,893.444877437917
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om195,1.5235997318926082,0.09339056495893414,25.178065589096637,250.46054145769278,1.792192285663375,0.12723947756575327,22.331586926818982,11.257279666182203,True,876.338310054277
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om210,1.5235937208433064,0.09339060311565353,25.178029998516994,250.45986013835682,1.7592297885665902,0.11218404593590169,21.07235923516497,4.585463613198327,True,852.2730342083903
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om225,1.5235997668965526,0.09339055757329953,25.17806560655257,250.46055527843504,1.7223002123535638,0.08970616942220654,19.978560083846023,0.7725975727663381,True,825.5781210511815
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om240,1.5235937212441777,0.09339059593864463,25.178030891054107,250.4598598820589,1.6986601155683252,0.07051555971934409,19.211542827551146,6.129025561472981,True,808.6388951970636
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om255,1.5235997347359922,0.09339056790525656,25.17806514434708,250.46054278759178,1.7139763925277487,0.07373951714007805,18.876601074416296,36.00085494987475,True,819.6003706659216
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om270,1.5235967474637926,0.09339058312568504,25.178047357881358,250.4602093367366,1.7599477477780312,0.10102166478513518,18.64347891869396,72.09517253644607,True,852.7948191158949
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om285,1.523597751351979,0.09338813465765994,25.17804807836721,250.46010204771636,1.6971077841115585,0.0913053685631247,17.898507414394157,127.37598655739744,True,807.5306787090509
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om30,1.5235996487981596,0.0933905851511117,25.178065213033083,250.46050880462474,1.2793428104412778,0.2954938416710872,28.724833616790722,165.7816209289188,True,528.5368738197478
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om300,1.5235987036712977,0.09339301856414335,25.178064856461827,250.46063911487244,1.5353390745803124,0.12928086012432652,16.25911703339715,183.93629250449294,True,694.8664554594087
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om315,1.5235976241669198,0.09339301711902902,25.178058025526305,250.46053023971228,1.3948591677521274,0.22517948530811657,16.537033659008898,204.57600659033753,True,601.7144403667356
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om330,1.5235991590482407,0.09338814429294533,25.178057040217702,250.4602347969997,1.3116703205846305,0.2884181937464647,17.375530516362588,198.83619338532876,True,548.6961716060181
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om345,1.5235957636794457,0.09339302203635194,25.178047316664138,250.46032424361266,1.2672294487617473,0.3204616743295501,19.585850537726333,188.27835474655865,True,521.0480531561203
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om45,1.5235997669739738,0.09339070166989592,25.17806504908253,250.46058703886416,1.321467826017104,0.25157890204853073,30.684497471484796,157.60555560743086,True,554.8553564562602
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om60,1.5235996434213641,0.0933905871721528,25.17806509880988,250.46050673349367,1.3850732924574336,0.2106469955390032,31.69120560199566,145.88924803405388,True,595.3934121540249
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om75,1.5235996616842886,0.09339058331877058,25.178065107917316,250.4605139443122,1.4649311331661556,0.15732237528026136,31.926709074537424,130.8254117412566,True,647.620675998445
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om0__om90,1.5235996373337226,0.09339058845661384,25.178065095774055,250.46050432988778,1.5493058837993599,0.12574864415045897,31.52868309561897,106.96467738013085,True,704.369670912362
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om0,1.5235967689708945,0.0933905750414133,25.178047814774956,250.46021762120125,2.1563895788626013,0.23072985738719515,23.868888949536103,3.268348577277095,True,1156.6067668771148
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om105,1.523597748508602,0.09338813171138449,25.178048523117095,250.46010071775407,2.0422949611122214,0.3252081386971748,29.209669776554332,88.21418452956277,True,1066.037767414254
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om120,1.5235971964362607,0.09339302726950789,25.178056179464384,250.4604669250753,1.8075655103416408,0.2912765666161543,28.22729379693936,116.11633868061222,True,887.6381538077225
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om135,1.523597622123243,0.09339301500136893,25.178058345190298,250.46052928387235,1.595361872277269,0.27317933440241493,25.950836425643896,136.27406626200582,True,736.0099833630097
